OBJECTID,Tract_N,SPA,Detailed_1,CD,Detailed_N,SD,Tract_1,Year_1,totUnshe_1,totShelt_1,totPeopl_1,u_dens,s_dens,t_dens,unincorpor,Shape__Area,Shape__Length
325,139600,2,Encino NC,5,Encino NC,3,139600,2019,11.488,0,11.488,12.010269,0,12.010269,No,26666137.7304688,20760.6425948566
326,139701,2,Encino NC,5,Encino NC,3,139701,2019,5.119,0,5.119,3.900439,0,3.900439,No,36587856.4189453,32947.6230056008
327,139702,2,Encino NC,5,Encino NC,3,139702,2019,23.425,0,23.425,6.456928,0,6.456928,No,101138880.595703,65654.9418678861
328,139703,2,Encino NC,3,Encino NC,3,139703,2019,2.89,0,2.89,1.582907,0,1.582907,No,50899322.2080078,41378.2183102172
329,139801,2,Tarzana NC,3,Tarzana NC,3,139801,2019,0,0,0,0,0,0,No,39455344.9765625,27689.8110269329
330,139802,2,Tarzana NC,3,Tarzana NC,3,139802,2019,0,0,0,0,0,0,No,65412413.7636719,46887.4334365184
331,141101,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141101,2019,0,0,0,0,0,0,No,8170788.71679688,11728.7817962421
332,141102,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141102,2019,2,0,2,6.650706,0,6.650706,No,8383304.01757813,15328.6199254251
333,141201,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141201,2019,33.714,0,33.714,124.560599,0,124.560599,No,7545504.52246094,12115.016840672
334,141202,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141202,2019,2,0,2,7.398457,0,7.398457,No,7536647.21777344,12658.1363716385
335,141302,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141302,2019,4.851,0,4.851,9.889496,0,9.889496,No,13674735.2783203,16990.6542391857
336,141303,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141303,2019,3.047,0,3.047,30.133814,0,30.133814,No,2818666.28320313,7058.93743584183
337,141304,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141304,2019,7.719,0,7.719,28.10408,0,28.10408,No,7657153.0234375,14157.9119077684
338,141400,2,Encino NC,5,Encino NC,3,141400,2019,8.388,0,8.388,10.840906,0,10.840906,No,21570676.2587891,19429.915487937
339,141500,2,Encino NC,5,Encino NC,3,141500,2019,1,0,1,0.776369,0,0.776369,No,35908626.2822266,31707.6246790338
340,141600,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141600,2019,0,0,0,0,0,0,No,41447785.1132813,37186.3946783074
341,141700,2,Sherman Oaks NC,4,Sherman Oaks NC,3,141700,2019,0,0,0,0,0,0,No,34913888.1865234,32096.5349899252
342,143100,2,Greater Toluca Lake NC,4,Greater Toluca Lake NC,3,143100,2019,7.741,0,7.741,11.297412,0,11.297412,No,19334383.6386719,18874.1400934178
343,143200,2,Studio City NC,2,Studio City NC,3,143200,2019,26.807,0,26.807,72.545555,0,72.545555,No,10301822.0224609,14059.7882084232
344,143300,2,Studio City NC,2,Studio City NC,3,143300,2019,15.904,0,15.904,24.892375,0,24.892375,No,17812020.3710938,19899.5255632597
345,143400,2,Studio City NC,2,Studio City NC,3,143400,2019,9.311,0,9.311,13.72335,0,13.72335,No,18914450.2792969,21026.2011014108
346,143500,2,Studio City NC,2,Studio City NC,3,143500,2019,6.57,0,6.57,13.743476,0,13.743476,No,13327193.3095703,18907.7229520349
347,143602,2,Studio City NC,2,Studio City NC,3,143602,2019,7.107,0,7.107,15.10326,0,15.10326,No,13118178.7441406,16730.5727781753
348,143603,2,Studio City NC,2,Studio City NC,3,143603,2019,8.085,0,8.085,39.852123,0,39.852123,No,7315285.76074219,15172.2863594323
349,143604,2,Studio City NC,2,Studio City NC,3,143604,2019,19.689,0,19.689,90.953767,0,90.953767,No,4439671.55078125,8750.03196817069
350,143700,2,Hollywood Hills West NC,4,Hollywood Hills West NC,3,143700,2019,8,0,8,6.113356,0,6.113356,No,35357968.4941406,37388.1185544735
351,143800,2,Studio City NC,2,Studio City NC,3,143800,2019,13.525,0,13.525,13.431614,0,13.431614,No,28072426.0390625,36262.0582336597
352,143901,2,Studio City NC,2,Studio City NC,3,143901,2019,22.094,0,22.094,10.808364,0,10.808364,No,56987075.0507813,42068.9634404444
