OBJECTID,Tract_N,SPA,SD,CD,totUnshelt,totShelt,totPeople,Shape__Area,Shape__Length,GlobalID
513,123010,2,3,2,42.57,0,42.57,1017559.25488281,4159.93425336535,b319b363-efdd-4333-980d-58cc89ab8c3c
514,123020,2,3,2,9.768,0,9.768,562291.671142578,3000.31086998528,8e5582bb-8977-4e30-b6ee-0f153300aa93
515,123104,2,3,2,0,0,0,781745.913513184,3509.43952361622,29c8b11f-3433-4123-bc47-b96f59b047d1
516,123203,2,3,2,9.831,0,9.831,588621.20513916,3891.33581716662,8807ae93-d5d4-491a-86d6-7ef8f63c64ba
517,123205,2,3,2,5.087,0,5.087,758994.897338867,3518.160757388,5bf9cd9f-570b-4561-924c-8b5551cbcd03
518,123206,2,3,2,61.881,14,75.881,603870.42401123,3132.93534433112,df899d01-7b9e-48c6-a010-37b86a0ebf3a
519,123301,2,3,2,47.87,0,47.87,1309399.34753418,5390.59873363821,eb168e7e-6c2a-41e5-9b58-2abfb9806a47
520,123304,2,3,2,39.759,0,39.759,876436.52154541,4087.13778216027,221c5dc8-a55d-4d19-acb7-a7c9fe98045d
521,123410,2,3,2,9.657,0,9.657,495830.250915527,2896.66329622913,6d38d49e-c9b9-478e-8ac8-257da4fd3133
522,123420,2,3,2,103.348,0,103.348,788807.034973145,4492.6148490886,023382ee-59cf-45df-8d5d-137ebdd5aa8d
523,123520,2,3,2,0,0,0,512302.79888916,3808.61415602591,9b49a81c-7287-40d2-aa15-78d948d6e19e
524,123601,2,3,2,0,0,0,1538084.31713867,5546.74070242766,793faf4b-e774-447c-bc41-5c201628c9f3
525,123700,2,3,2,173.745,0,173.745,953956.052856445,3997.5410411962,6b50c3a5-6207-4489-9500-b6b5fe471947
526,123800,2,3,2,4.294,4,8.294,1307993.46124268,5315.43827343463,682d6ecf-9553-460b-b05f-c5034c66d9ab
527,123901,2,3,2,71.054,0,71.054,1279210.3302002,4578.37326391047,7ca276af-58b6-4c52-b23e-73b2ec6cb22c
528,124000,2,3,2,9.816,0,9.816,1337713.12310791,5084.69490794426,6643cb8b-9c09-4ad4-a67a-155a308c288b
529,124102,2,3,2,4,0,4,650275.295166016,3225.47910499607,ac0bf04c-3ab4-4fa9-baba-4c044e44fc15
530,124103,2,3,2,2.831,0,2.831,324471.093017578,2416.7062744388,26ed4686-ce41-45ab-9491-1a4b8e9cc5af
531,124105,2,3,2,34.31,0,34.31,325083.185546875,2418.87091930843,ff7cb6d9-6cb9-47da-bbf0-24ec9e1eb053
532,980008,2,3,6,44.894,0,44.894,3386458.10644531,10255.9191193881,c12fdc54-a7c5-4f4a-9afd-8c6aeb757c1f
533,980009,4,3,4,80.213,0,80.213,21342579.0756836,23744.3618835695,f1e69d0c-eece-4548-b01c-e4d93ebd4b69
