FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length,OBJECTID,Tract_N,SPA,SD,CD,totUnshelt,totShelt,totPeople,Shape__Area,Shape__Length,GlobalID,OBJECTID,Tract_N,SPA,Detailed_1,CD,Detailed_N,SD,Tract_1,Year_1,totUnshe_1,totShelt_1,totPeopl_1,u_dens,s_dens,t_dens,unincorpor,Shape__Area,Shape__Length
43,106111,2,3,7,2.095,0,2.095,5624355.84765625,13051.153265814199,40,212101,4,2,10,16.336,0,16.336,186141.102172852,1729.8610250648198,9d71a550-f7a6-4a5a-84ec-dc6fc153ee0d,39,106111,2,Sylmar NC,7,Sylmar NC,3,106111,2019,21.628,0,21.628,14.638851999999998,0.0,14.638851999999998,Yes,30127164.7744141,28477.062652709
44,106112,2,3,7,12.780999999999999,170,182.78099999999998,4741841.3671875,18391.1603257844,41,212102,4,2,10,4.676,0,4.676,138911.79107666,1495.71892022107,6485e6f4-7fa3-491e-9def-1aa32281fc7d,40,106112,2,Sylmar NC,7,Sylmar NC,3,106112,2019,15.98,0,15.98,12.824212,0.0,12.824212,No,34684298.734375,49897.3336584591
45,106113,2,3,7,49.881,0,49.881,2112895.8046875,7284.009379454041,42,212202,4,2,1,35.556,0,35.556,206864.42437744103,1977.59561243882,fae6dbf6-fccb-41a8-bc10-175f3a2ae3df,41,106113,2,Sylmar NC,7,Sylmar NC,3,106113,2019,4.5760000000000005,0,4.5760000000000005,8.241685,0.0,8.241685,No,15479129.9716797,19713.975335586598
46,106114,2,3,7,22.035999999999998,0,22.035999999999998,1490390.16015625,6355.68889103557,43,212203,4,2,10,7.353,0,7.353,106524.74731445301,1373.13263864263,5f85e9fd-1f7f-4cb8-8c0f-5a34b7241989,42,106114,2,Sylmar NC,7,Sylmar NC,3,106114,2019,12.519,0,12.519,31.962595,0.0,31.962595,No,10906536.474609401,17199.257872801
47,106403,2,3,7,4.0,0,4.0,1624379.1171875,5283.37593359974,44,212204,4,2,1,64.801,0,64.801,213395.169311523,1876.0283188236604,33fb23fe-c92f-4324-8d6c-8c08133362fc,43,106403,2,Sylmar NC,7,Sylmar NC,3,106403,2019,13.823,0,13.823,32.383303000000005,0.0,32.383303000000005,No,11908213.099609401,14306.5455510164
48,106405,2,3,7,3.095,0,3.095,1719491.77734375,5354.8382321667295,45,212303,4,2,10,9.628,0,9.628,155931.867797852,1592.3187516490302,40c24733-67ed-4d06-927b-326004175a7f,44,106405,2,Sylmar NC,7,Sylmar NC,3,106405,2019,2.0,0,2.0,4.427167,0.0,4.427167,No,12593834.9912109,14490.8314108831
49,106406,2,3,7,9.379,0,9.379,3064695.6875,7906.728820348941,46,212306,4,2,10,9.474,0,9.474,162216.199584961,1622.13101607663,5ba4d804-2bfc-490e-9a3d-d3adfad0f43a,45,106406,2,Sylmar NC,7,Sylmar NC,3,106406,2019,15.546,0,15.546,19.311128,0.0,19.311128,No,22449693.461914103,21404.0315607827
50,106407,2,3,7,0.0,0,0.0,341065.5859375,2348.3412085095397,47,212501,4,2,10,5.981,0,5.981,79705.53179931639,1160.5853555464098,70f77be1-3c90-4699-aced-c4465bb6ed24,46,106407,2,Sylmar NC,7,Sylmar NC,3,106407,2019,5.047,0,5.047,56.31815400000001,0.0,56.31815400000001,No,2497949.79882813,6355.40629994198
51,106408,2,3,7,2.0,0,2.0,336380.09375,2326.26828496577,48,212800,4,2,10,12.380999999999998,0,12.380999999999998,785171.527160645,3578.1989285977297,7420d6a4-31bf-4e68-944b-dd0728af3a48,47,106408,2,Sylmar NC,7,Sylmar NC,3,106408,2019,16.617,0,16.617,188.019649,0.0,188.019649,No,2463767.63085938,6295.09883190291
52,106510,2,3,7,12.282,0,12.282,8424950.9609375,13709.206998602,49,213202,4,2,10,5.246,0,5.246,338547.395263672,2483.84873012404,2a529f7d-3ff0-4ae3-b7c6-df1c76627abd,48,106510,2,Sylmar NC,7,Sylmar NC,3,106510,2019,50.326,0,50.326,22.741182000000002,0.0,22.741182000000002,No,61703601.5693359,37123.1186137417
