FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length
309,137104,2,3,3,3.095,0,3.095,3758387.3125,8627.91298882558
310,137201,2,3,3,1,0,1,2924160.953125,7071.58802787053
311,137301,2,3,3,1,0,1,2357668.8125,7469.35834840954
312,137302,2,3,3,6.285,0,6.285,3583973.19140625,9244.70133737696
313,137401,2,3,3,2.591,0,2.591,3475954.62890625,9805.24571564493
314,137402,2,3,3,7.19,0,7.19,4513540.609375,11474.1054724611
315,137501,2,3,3,5.021,0,5.021,3679447.87890625,8932.92291220747
316,137502,2,3,3,10.811,0,10.811,3060663.8359375,7101.78327932526
317,137504,2,3,3,0,0,0,5617052.1484375,12131.4798170134
318,138000,2,3,3,2.095,0,2.095,6546371.65234375,11522.6137055596
319,139001,2,3,5,0,0,0,1815848.30078125,6538.70339700615
320,139200,2,3,5,0,0,0,1687319.12109375,5170.05230043696
321,139301,2,3,3,16.156,0,16.156,4197411.77734375,9918.89206604453
322,139302,2,3,3,4.021,0,4.021,495500.84765625,2938.53691280306
323,139303,2,3,3,1,0,1,608650.515625,3337.13994206669
324,139401,2,3,3,13.797,0,13.797,1328630.453125,4694.12697060017
325,139402,2,3,3,17.926,0,17.926,3578781.1640625,10539.6098544136
326,139502,2,3,5,2.926,0,2.926,1533837.75390625,6256.07856137391
327,139503,2,3,5,0,0,0,515061.33984375,2991.81727891149
328,139504,2,3,5,1,0,1,423296.734375,2991.88690094169
329,139600,2,3,5,6.946,0,6.946,3627668.515625,7658.02340217871
330,139701,2,3,5,9.021,0,9.021,4976662,12155.5305220663
331,139702,2,3,5,0,0,0,13751475.4882813,24211.3053772812
332,139703,2,3,3,3.181,0,3.181,6921130.84765625,15267.21303417
333,139801,2,3,3,0,0,0,5366146.1015625,10214.529256997
334,139802,2,3,3,0,0,0,8894183.08984375,17299.1403948522
335,141101,2,3,4,0,0,0,1111233.04296875,4326.57920492519
336,141102,2,3,4,1,0,1,1140100.7734375,5653.88084457451
337,141201,2,3,4,15.892,0,15.892,1026239.31640625,4466.15053687095
338,141202,2,3,4,1,0,1,1024825.6796875,4665.74817220257
339,141302,2,3,4,6.829,0,6.829,1859883.79296875,6267.92749669302
340,141303,2,3,4,3.095,0,3.095,383407.12109375,2605.06015079155
341,141304,2,3,4,4,0,4,1041339.9453125,5223.84646248502
342,141400,2,3,5,11.627,0,11.627,2934003.0703125,7168.25406361188
343,141500,2,3,5,0,0,0,4882296.63671875,11699.2355754578
344,141600,2,3,4,0,0,0,5635215.63671875,13710.7665127514
345,141700,2,3,4,0,0,0,4746744.4296875,11834.7750123068
346,143100,2,3,4,14.42,0,14.42,2597697.11328125,6917.79629760948
347,143200,2,3,2,10.187,0,10.187,1400949.47265625,5182.11925465208
348,143300,2,3,2,10.885,0,10.885,2422484.703125,7335.99320729732
349,143400,2,3,2,7.777,0,7.777,2572555.41015625,7745.1148043803
350,143500,2,3,2,1,0,1,1812325.08984375,6962.84473319263
351,143602,2,3,2,5.808,0,5.808,1783840.0703125,6166.90054289064
352,143603,2,3,2,7.702,0,7.702,769062.73046875,4970.54002467163
353,143604,2,3,2,22.706,0,22.706,820550.38671875,5075.60940322141
354,143700,2,3,4,27.621,0,27.621,4958896.828125,12995.4658191726
355,143800,2,3,2,0,0,0,3816367.60546875,13365.8580430363
356,143901,2,3,2,7.616,0,7.616,7746829.1796875,15511.9932393271
357,143902,2,3,4,4.406,0,4.406,3697801.0703125,12625.5007560851
358,181000,4,1,14,39.377,0,39.377,6055567.83203125,13931.6385749251
359,181300,4,1,14,24.078,0,24.078,2105572.796875,7928.84616752001
360,181400,4,1,14,27.459,0,27.459,1286523.51953125,5315.10465781879
361,181500,4,1,14,9.707,0,9.707,1601858.90234375,6600.38503075648
362,181600,4,1,14,4.19,0,4.19,1828884.48828125,6616.75269380657
363,183101,4,1,14,19.524,0,19.524,1415950.2890625,6283.55270577214
364,183103,4,1,14,1,0,1,960373.296875,7261.06770193094
365,183104,4,1,14,2.095,0,2.095,986672.16015625,5993.39457933402
366,183220,4,1,14,0,0,0,782907.8828125,4907.77013188412
367,183221,4,1,14,0,0,0,1033940.29296875,4729.55044272685
368,183222,4,1,14,3.616,0,3.616,1358264.12890625,6232.30704563554
369,183300,4,1,14,8.093,0,8.093,791809.3125,3784.33586226454
370,183401,4,1,14,14.495,0,14.495,709954.3828125,3864.19564536613
371,183402,4,1,14,19.28,0,19.28,751159.38671875,4138.76860917683
372,183510,4,1,1,17.706,0,17.706,731936.71484375,3853.19137017129
373,183520,4,1,1,12.725,0,12.725,625490.92578125,3382.65557358368
374,183610,4,1,1,23.223,0,23.223,553778.47265625,3617.14045814703
375,183620,4,1,14,5.207,0,5.207,756837.7734375,3481.86151291211
376,183701,4,1,14,37.001,0,37.001,805565.36328125,4620.43938176577
377,183702,4,1,14,6.424,0,6.424,1304311.5859375,6320.26915012479
378,183810,4,1,1,5.808,0,5.808,665251.20703125,3792.21267986851
379,183820,4,1,1,14.156,0,14.156,451336.09765625,3865.70744356739
380,185100,4,1,1,38.823,0,38.823,3331004.79296875,9402.61241796543
381,185202,4,1,1,15.077,0,15.077,1762649.12890625,6417.97585045795
382,185203,4,1,1,22.174,0,22.174,801215.45703125,4404.33229923308
383,185204,4,1,1,19.149,0,19.149,1409153.4765625,6398.86942015836
384,185310,4,1,1,5.424,0,5.424,615533.9140625,4482.88979762875
385,185320,4,1,1,12.327,0,12.327,862234.98046875,5237.61851746697
386,186100,4,1,14,10.082,0,10.082,1971142.2265625,8100.71645052292
387,186201,4,1,1,8.734,0,8.734,763598.4140625,4462.53414337075
